rec	Station	Crime type
499		Illegal entry into awildlife protected area
500		Illegal entry into a wildlife protected area
501		Illegal entry into awildlife protected area
502		Illegal entry into a wildlife protected area
503		Illegal entry into a wildlife protected area
504		Illegal entry into awildlife protected area
505		Negligently permitting domestic animals into awildlife protected
506		Illegal entry into awildlife protected area
507		Negligently permitting domestic animals into awildlife protected
508		Illegal entry into a wildlife protected area
509		Negligently permitting domestic animals into awildlife protected
510		Illegal entry into a wildlife proteced area
511		Illegal entry into awildlife protected area
512		Illegal entry into a wildlife protected area
513		possession of wildlife protected species
514		Illegal entry into a wildlife proteced area
515		Illegal entry into awildlife protected area
516		Illegal entry into awildlife protected area
517		Illegal entry into awildlife protected area
518		Possession of wildlife protected species
519		Possession of wildlife protected species
520		Possession of wildlife protected species
521		Possession of wildlife protecetde species
522		Possession of wildlife protected species
523		Possession ofwildlife protected species
524		Illegal entry into awildlie protected area
525		Illegal entry into awildlife protected area
526		Illegal entyr into awildlife protected area
527		Illegal entry into awildlife protected area
528		Illegal entry into awildlife protected species
529		Illegal entrty into awildlife protected area
530		illegal  entry into a wildlife protcted area
531		
532		negligently permitting domestic animals into a wildlife protecte
533		illegal entry into a wildlife protected area
534		illegal entry into a wildlife protected area
535		illegal entry into a wildlife protected area
536		illegal entry into a wildlife p[rotecetd area
537		illegal entry into a wildlife protected area
538		Iillegal entry into a wildlife protected area
539		illegal entry into a wildlife protected area
540		illegal entry into a wildlife proteceted proteceted area
541		illegal entry into awildlife protected area
542		Illegal entry into a protected area.
543		Illegal entry into a eildlife protected area.
544		Illegal entry into a wildlife protected area
545		Illegal entry
546		Illegal entry into a wildlife protected area
547		Illegal entry into a wildlife protected area
548		Illegal entry into a wildlife protected area
549		Illegal entry into a wildlife protecte area
550		Negligently permitting domestic animals into a wildlife protecte
551		Illegal entry into a wildlife protected area
552		Illegal entry into a wildlife protected area
553		Illegal entry into a wildlife  protected area
554		I
555		Illegal entry into a wildlife protected area
556		Negligently permitting domestic animals into a wildlife protecte
557		Negligently permitting domestic animals into a wildlife protject
558		Illegal entry into a wildlife protected area
559		Illegal entry into a wildlife protected area
560		Illegal entry into  a wildlife protected area
561		Illegal entry into a wildlife protected area
562		illegal entry into a wildlife protected area
563		Illegal entry into a wildlife protected area
564		Illegal entry into a wildife protected area
565		Illegal entry into a wildlife protected arae
566		Illegal entry into a wildlife protected area
567		Illegal entry into a wildlife protected arae
568		Illegal entry into a wildlife protected area
569		Illegal entry into a wildlife protected species
570		Illegal entry into a wildlife protected area
571		Illegal entry into a wildlife protected area
572		Illegal entry into a wildlife protected area
573		Illegal entry into a wildlife protected area
574		Illegal entry into a wildlife protected area
575		Illegal entry into a wildlife protected Area
576		Ilegal entry into a wildlife protected Area
577		Illegal entry into a wildlife protected Area
578		Illegal entry into a wildlife proteceted area
579		Illegal entry into a wildlife protected area
580		Illegal entry into a wildlife protected area
581		Illegal entry into a wildlife protected area
582		Illegal entry a wildlife protected area
583		Illegal entry into a wildlife protected area
584		Illegal entry into awildlife protected area
585		Possession of illegal devices capable of killing wild animals
586		Possession of illegal devices capable of killing wild animals
587		Illegal entry into a wildlife protyected area
588		Illegal entry into a wildlife protected area
589		Illegal entry into a wildlife protected area
590		Illegal entry into a wildlife protected area
591		Illegal entry into a wildlife protected area
592		Illegal entry into a wildlief protected area
593		Illegal entry into a wildlife protected area
594		Illegal entry into a wildlife protected area
595		Illegal entry into a wildlife protected area
596		Illegal entry into a wildlife protected area
597		Negligently straying in domestic animals into a wildlife protect
598		Negligently straying in domestic animals into a wildlife protect
599		Illegal entry into a wildlife protected area
600		Illegal entry into a wildlife protected area
601		Illegal entry into a wildlife protected area
602		Illegal entry into a wildlife protected area
603		Illegal enty into a wildlife protected area
604		Illegal entry into a wildlife protected area
605		Illegal entry into a wildlife protected area
606		Illegal entry into a wildlife protected area
607		Possession of wildlife protected species
608		Possession wildlife protected species
609		Possession of wildlife protected species
610		Possession of wildlife protected species
611		Possession of illegal devices capable of killing and disturbing 
612		Negligently permitting domestic animals into a wildlife protecte
613		Illegal entry into a wildlife protected area
614		Illegal entry into a wildlife protected area
615		Negligently straying domestic animals into a wildlife protected 
616		Illegal entry into a wildlife protected area
617		Illegal entry into a wildlife protected area
618		Illegal entry into a wildlife protected area
619		Illegal entry into a wildlife protected area
620		Possession of wildlife protected species
621		Possession of wildlife protected species
622		Possession of wildlife protected species
623		Illegal entry into a wildlife protected area
624		Illegal entry into a wildlife protected area
625		Hunting of wild animals
626		Illegal entry into a wildlife protected area
627		Illegal entry into a wildlife protected area
628		Illegal entry into a wildlife protected area
629		Illegal entry into a wildlife protected area
630		Illegal entry into a wildlife protected area
631		Illegal entry into a wildlife protected area
632		Illegal entry into a wildlife protected area
633		Illegal entry into a wildlife protected area
634		Illegal entry into a wildlife protected area
635		Illegal entry into a wildlife protected area
636		possession of illegal devices capable of killing and disturbing 
637		Illegal entry into a wildlife protected area
638		Illegal entry into a wildlife protected area
639		Illegal entry into a wildlife protecetd area
640		Illegal entry into a wildlife protected area
641		
642		Illegal entry into a wildlife protected area
643		un lawful possession of devices
644		un lawful entry into a wildlife protected area
645		Un lawful entry into a wildlife protected area
646		un lawful entry into a wildlife protected area
647		un lawful entry into a wildlife protected area
648		Possession of wildlife protected specimen
649		un lawful possession of wildlife protected specimen
650		un lawful possession of wildlife protected specimen
651		Un lawful entry into a wildlife protected area
652		Un law ful entry into a wildlife protected area
653		Unlawful entry into a wildlife protected area
654		Un lawful entry into a wildlife protected arae
655		Un lawful entry into a wildlife protected area
656		Un lawful entry into a wildlife protected area
657		Un lawful entry into a wildlife protected area
658		Unlawful entry into a wildlife protected arae
659		Un lawful entry into a wildlife protected area
660		illegal entry into a wildlife protected area
661		Illegal entry into a wildlife  protected area
662		HUNTING OF WILDANIMALS
663		possession of devices
664		Un law ful entry into a wildlife protected area
665		Illegal entry int a wildlife protected area
666		Illegal entry into a wildlife protected area
667		Illegal entry into a wildlife preotected area
668		ILLEGAL ENTRY INTO A WILDLIFE PROTECTED AREA
669		Illegal entry into a wildlife protected area
670		Illegal entry into a wildlief protected area
671		Illegal entry into a wildlife protected area
672		Illegal entry into a wildlife protected area
673		Negligently permitting domestic animals into a wildlife protecte
674		Illegal entry into a wildlife protected area
675		Illegal entry into a wildlife prtected area
676		Illegal entry into  a wildlife protected area
677		Illegal entry into a wildlife protected area
678		Illegal entry into a wildlife protected area
679		Illegal entry into a wildlife protected area
680		Negligently permitting domestic animals into a wildlife protecte
681		Negligently permitting domestic animals into a wildlife protecte
682		Illegal entry into a wildlife protected area
683		ILLEGAL ENTRY INTO A WILDLIFE PROTECTED AREA
684		Illegal entry into a wildlife protected area
685		Illegel entry into a wildlife protected area
686		Illegal entry into a wildlife protected area
687		Illegal entry into a wildlife protected area
688		Illegal entry into a wildlife protected area
689		Illegal entry into a wildlife protected area
690		Illegal entry into a wildlife protected area
691		Illegal entry into a wildlife protected area
692		Illegal entry intoa wildlife protected area
693		Illegal entry into a wildlife protected area
694		Illegal entry into a wildlife protected area
695		illegal entry into a wildlife protected area
696		Illegal entry into a wildlife protected area
697		Illegal entry into a wildlife protected area
698		illegal entry into a wildlife protected area
699		illegal entry into a wildlife protected area
700		illegal entry into a wildlife protected area
701		illegal entry into a wildlife protected area
702		illegal entry into a wildlife protected area
703		Illegal entry into a wildlife protected area
704		Illegal entry into a wildlife protected area
705		Illegal entry into a wildlife protected area
706		Illegal entry into a wildlife protected area
707		illegal entry into a wildlife protected area
708		hunting of wild animals
709		Illegal entry into a wildlife protected area
710		Illegal entry into a wildlife protected area
711		illegal entry a wildife protected area
712		Possession of wildlife specimen
713		Possession of wildlife specimen
714		Possession of wildlife specimen
715		Possession of wildlife specimen
716		Possession of wildlife specimen
717		Possession of wildlife specimen
718		Illegal entry
719		Illegal possession of devices
720		Possession of illegal devices
721		Illegal entry
722		Illegal entry
723		Illegal entry
724		Illegal entry
725		Possession of wildlife specimen
726		Possession of wildlife specimen
727		Possession wildlife specimen
728		Illegal devices
729		Neligently permiting domestic animals into awildlife protected a
730		Illegal entry
731		illegal entry
732		Illegal entry
733		Illegal entry
734		Illegal entry
735		Illegal entry
736		Possession of wildlife specimen
737		Possession of wildlife specimen
738		Possession of wildlife specimen
739		Illegal entry
740		Illegal entry
741		illegal entry
742		illegal entry
743		Possession of illegal devices
744		illegal entry
745		Illegal entry
746		Possession of illegal devices
747		illegal entry
748		illega entry
749		illegal entry
750		Ilegal entry
751		illegal entry
752		Illegal entry
753		Illegal entry
754		Illegal entry
755		Illegal entry
756		Illegal entry
757		ilolegal entry
758		Illegal entry
759		Illegal entry
760		Illegal entry
761		illegal entry
762		illegal entry
763		illegal entry
764		illegal entry
765		Illegal entry into aprotected Area
766		Illegal entry into the protected area
767		Negligently permitting domestic into awild life protected area
768		Negigently permitting domestic animals into awildlife protected 
769		illegal entry
770		Burning the park
771		Negligently permitting domestic animals into awildlife protected
772		Illegal entry
773		Illegal entry
774		illegal entry
775		illegal entry
776		illegal entry
777		Illegal entry
778		Illegal entry
779		Illegal entry
780		possession of agun UG 8816-2000 WITH 116 ROUNDS
781		possession of gun UG 8816-200 With 116
782		possession of agun UG 8816-200,WITH 116 ROUNDS
783		possession of illegal devices
784		Illegal entry
785		illegal entry
786		illegal entry
787		Illegal entry
788		Possession of wildlife specimen
789		Possession wildlife specimen
790		possession of wildlife specimen
791		possession of wildlife specimen
792		Possession of specimen
793		possession of wildlife specimen
794		illegal entry
795		Illegal entry
796		illegal entry
797		illegal entry
798		illegal entry
799		Illegal entry
800		ilegal entry
801		illegal entry
802		Possession of illegal devices
803		Illegal entry
804		Illegal entry
805		illegal entry
806		Illegal entry
807		illegal entry
808		illegal entry
809		Illegal entry
810		Illegal entry
811		Illegal entry
812		Illegal entry
813		illegaL entry
814		illegal entry .
815		Illegal entry
816		Illegal entry
817		illegal entry
818		Illlegal devices
819		illegal entry
820		Illegal entry
821		illegal entry
822		illegal entry
823		illegal entry
824		ilegal entry
825		illegal entry
826		Illegal entry
827		Ilegel entry
828		Possession of wildlife specimen
829		
830		
831		possession of wild life specimen
832		Possession of wildlife specimen
833		possession wildlife specimen
834		illegal entry
835		illegal entry
836		illegal entry
837		possession of illegal devices
838		Illega entry
839		Illegal entry
840		illegal entry
841		illegal entry
842		possession of illegal devices
843		Possession of illegal devices
844		illegal entry
845		possession of illegal devics
846		possession of wildlife specimen
847		Possession of illegal devices
848		Possession of wildlife protected species
849		Possession of wildlife protected species
850		Negligently permitting domestic animals into awildlife protected
851		illegal entry
852		Negligently permitting domestic animals into awildlife protected
853		possession of wldlife species
854		possession of wildlife protected species
855		illegal entry
856		illegal entry
857		illegal entry
858		Illegal entry
859		Illegal entry
860		Illegal entry
861		illegal entry
862		Illegal entry
863		illegal entry
864		Illegal entry
865		illegal entry
866		Illegal entry
867		Illegal entry
868		Illegal entry
869		Illegal entry into a protected area
870		Illegal entry
871		
872		Illegal entry
873		illegal entry
874		Illegal entry
875		illegal entry
876		Illegal entry
877		Illegal entry
878		Illegal entry
879		Illegal entry
880		ilegal entry
881		Illega entry
882		Illegal entry
883		Illegal devices
884		Illegal entry
885		possession of hipo meat
886		illegal possession of hippo meat
887		Possession of hippo meat
888		possession of hippo meat
889		possession of a hippo meat
890		Possession a hippo meat
891		Possession of a hippo meat
892		possession of devices
893		Illegal entry
894		Illegal entry
895		Illegal entry
896		Illegal entry
897		Possession wildlife specimen
898		illegal entry
899		illegal entry
900		illegal fishing
901		Illegal entry
902		Illegal entry
903		Illegal entry
904		Illegal entry
905		Illegal entry
906		Illegal entry
907		illegal entry
908		illegal entry
909		illegal entry
910		Illegal entry
911		Illegal entry
912		Illegal entry
913		Illegal entry
914		Illegal entry
915		Illegal entry
916		Illegal entry
917		Illegal entry
918		Illegal entry
919		Illegal entry
920		Illegal entry
921		ILLEGAL ENTRY
922		Illegal entry
923		Illegal entry
924		Illegal entry
925		illegal entry
926		Illegal entry
927		Illegal entry
928		Negligently permitting domestic a nimals into a wildlife protect
929		Illegal entry
930		Illegal entry
931		Illegal entry
932		illegal entry
933		Illegal entry
934		
935		IllegaI entry into the PA
936		Illegal entry into the PA
937		Illigal entry
938		Possession of soecimen of protected species
939		Possession of soecimen of protected species
940		Possession of soecimen of protected species
941		Illegal entry into the PA
942		Illegal entry into the PA
943		Illegal entry into the PA
944		Illegal entry into the PA
945		Illegal entry into the PA
946		Illegal entry into the PA
947		Illegal entry into the PA
948		Illegal entry into the PA
949		Illegal entry into the PA
950		Illegal entry into the PA
951		Illegal entry into the PA
952		Possession of illegal specimen
953		Possession of illegal specimen
954		Possession of illegal specimen
955		Illegal entry into PA
956		Illegal entry into PA
957		Possession of wildlife specimen
958		Possession of wildlife species
959		Possession of wildlife species
960		Illegal entry into a wildlife protected area
961		Ileegal entry into a wildlife protected area
962		Introduction of domestic animals into a wildlife protected area
963		Introduction of domestic animals into a wildlife protected area
964		Negligently permitting domestic animals into a wildlife protecte
965		Ilegalentry into a wildlife protected area
966		Illegal entry into a wildlife protected area
967		Illegal entry into protected area
968		IllegaL entry
969		Illegal entry into a protecetd area
970		Illegal entry into a protected area
971		Possession of wildlife protected species
972		Possession of wildlife protected
973		Illegal burning of wildlife protected area
974		Illegal entry into a wildlife protected area
975		Illegal entry into awildlife protected area
976		Illegal entry into a wildlife Protected  area
977		Illegal entry into aa wildlife protected area
978		Possession of wildlife specimen
979		Illegal possession of wildlife specimen
980		Possession of wildlife specimen
981		Possession of wildlife specimen
982		Possession of wildlife protected specimen
983		Possession of wildlife protected specimen
984		Illegal entry into awildlife protected area
985		Illegal entry into awildlife protected area
986		Illegal entry into awildlife protected area
987		Illegal entry into awildlife protected area
988		Illegal entry into a wildlife protected area
989		Illegal entry into awildlife protected area
990		Illegal entry into a wildlife protected area
991		Illegal entry into a wildlife protected area
992		Illegal entry into awildlife protected area
993		Negligently permitting domestic animals into awildlife protected
994		Illegal entry into awildlife protected area
995		Negligently permitting domestic animals into awildlife protected
996		Illegal entry into a wildlife protected area
997		Negligently permitting domestic animals into awildlife protected
998		Illegal entry into a wildlife proteced area
999		Illegal entry into awildlife protected area
1000		Illegal entry into a wildlife protected area
1001		possession of wildlife protected species
1002		Illegal entry into a wildlife proteced area
1003		Illegal entry into awildlife protected area
1004		Illegal entry into awildlife protected area
1005		Illegal entry into awildlife protected area
1006		Possession of wildlife protected species
1007		Possession of wildlife protected species
1008		Possession of wildlife protected species
1009		Possession of wildlife protecetde species
1010		Possession of wildlife protected species
1011		Possession ofwildlife protected species
1012		Illegal entry into awildlie protected area
1013		Illegal entry into awildlife protected area
1014		Illegal entyr into awildlife protected area
1015		Illegal entry into awildlife protected area
1016		Illegal entry into awildlife protected species
1017		Illegal entrty into awildlife protected area
1018		illegal  entry into a wildlife protcted area
1019		
